,Country Name,Country Code,Indicator Name,Indicator Code,Year,Valor
0,Aruba,ABW,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
1,0.0,AFE,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
2,Afganistán,AFG,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
3,0.0,AFW,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
4,Angola,AGO,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
5,Albania,ALB,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
6,Andorra,AND,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
7,El mundo árabe,ARB,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
8,Emiratos Árabes Unidos,ARE,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
9,Argentina,ARG,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
10,Armenia,ARM,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
11,Samoa Americana,ASM,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
12,Antigua y Barbuda,ATG,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
13,Australia,AUS,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
14,Austria,AUT,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
15,Azerbaiyán,AZE,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
16,Burundi,BDI,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
17,Bélgica,BEL,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
18,Benin,BEN,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
19,Burkina Faso,BFA,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
20,Bangladesh,BGD,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
21,Bulgaria,BGR,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
22,Bahrein,BHR,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
23,Bahamas,BHS,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
24,Bosnia y Herzegovina,BIH,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
25,Belarús,BLR,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
26,Belice,BLZ,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
27,Bermudas,BMU,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
28,Bolivia,BOL,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
29,Brasil,BRA,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
30,Barbados,BRB,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
31,Brunei Darussalam,BRN,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
32,Bhután,BTN,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
33,Botswana,BWA,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
34,República Centroafricana,CAF,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
35,Canadá,CAN,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
36,Europa Central y del Báltico,CEB,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
37,Suiza,CHE,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
38,Islas del Canal,CHI,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
39,Chile,CHL,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
40,China,CHN,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
41,Côte d'Ivoire,CIV,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
42,Camerún,CMR,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
43,"Congo, República Democrática del",COD,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
44,"Congo, República del",COG,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
45,Colombia,COL,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
46,Comoras,COM,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
47,Cabo Verde,CPV,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
48,Costa Rica,CRI,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
49,Estados pequeos del Caribe,CSS,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
50,Cuba,CUB,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
51,Curacao,CUW,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
52,Islas Caimán,CYM,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
53,Chipre,CYP,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
54,República Checa,CZE,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
55,Alemania,DEU,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
56,Djibouti,DJI,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
57,Dominica,DMA,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
58,Dinamarca,DNK,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
59,República Dominicana,DOM,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
60,Argelia,DZA,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
61,Asia oriental y el Pacífico (excluido altos ingresos),EAP,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
62,inicial del dividendo demográfico,EAR,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
63,Asia oriental y el Pacífico,EAS,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
64,Europa y Asia central (excluido altos ingresos),ECA,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
65,Europa y Asia central,ECS,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
66,Ecuador,ECU,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
67,"Egipto, República Árabe de",EGY,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
68,Zona del Euro,EMU,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
69,Eritrea,ERI,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
70,España,ESP,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
71,Estonia,EST,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
72,Etiopía,ETH,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
73,Unión Europea,EUU,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
74,Frágiles y situaciones de conflicto afectados,FCS,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
75,Finlandia,FIN,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
76,Fiji,FJI,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
77,Francia,FRA,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
78,Islas Feroe,FRO,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
79,Micronesia (Estados Federados de),FSM,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
80,Gabón,GAB,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
81,Reino Unido,GBR,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
82,Georgia,GEO,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
83,Ghana,GHA,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
84,Gibraltar,GIB,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
85,Guinea,GIN,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
86,Gambia,GMB,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
87,Guinea-Bissau,GNB,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
88,Guinea Ecuatorial,GNQ,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
89,Grecia,GRC,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
90,Granada,GRD,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
91,Groenlandia,GRL,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
92,Guatemala,GTM,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
93,Guam,GUM,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
94,Guyana,GUY,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
95,Ingreso alto,HIC,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
96,"Hong Kong, Región Administrativa Especial",HKG,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
97,Honduras,HND,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
98,Países pobres muy endeudados (PPME),HPC,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
99,Croacia,HRV,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
100,Haití,HTI,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
101,Hungría,HUN,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
102,Sólo BIRF,IBD,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
103,BIRF y la AIF,IBT,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
104,total de la AIF,IDA,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
